133, 85
131, 84
133, 83
137, 83
134, 83
132, 82
137, 82
139, 83
136, 81
136, 82
142, 82
143, 81
141, 81
140, 81
146, 81
145, 80
146, 80
146, 79
151, 78
151, 78
150, 77
151, 76
155, 77
159, 76
158, 75
158, 75
159, 75
164, 73
169, 74
166, 73
164, 72
166, 72
170, 71
176, 70
173, 71
174, 69
174, 70
174, 68
179, 68
182, 68
182, 68
181, 66
180, 66
181, 65
184, 66
190, 65
192, 63
191, 65
189, 63
190, 63
191, 63
191, 61
195, 62
199, 61
202, 60
201, 59
201, 58
199, 58
199, 57
200, 56
203, 56
205, 55
205, 55
207, 55
210, 53
212, 53
216, 53
218, 51
220, 50
222, 51
223, 49
225, 48
226, 48
228, 47
230, 46
231, 46
234, 44
237, 45
239, 43
243, 42
246, 41
250, 40
253, 40
257, 40
259, 38
260, 38
263, 38
264, 37
268, 36
271, 36
275, 36
278, 35
283, 34
287, 34
292, 32
298, 32
304, 32
311, 32
315, 31
319, 30
322, 30
327, 29
333, 29
340, 29
346, 27
354, 27
362, 27
367, 26
371, 25
376, 26
381, 26
387, 24
394, 24
402, 24
407, 23
410, 23
416, 22
423, 22
432, 21
441, 22
450, 21
455, 21
463, 21
471, 19
482, 19
492, 19
501, 18
510, 18
519, 18
531, 17
542, 16
553, 16
563, 15
573, 15
585, 15
598, 14
606, 14
618, 13
629, 13
644, 12
658, 13
670, 12
683, 11
698, 11
710, 10
723, 10
735, 10
750, 10
766, 9
777, 9
791, 9
802, 8
814, 8
823, 8
832, 7
841, 7
848, 7
856, 7
865, 6
869, 6
880, 7
890, 5
894, 6
901, 6
905, 6
914, 5
918, 5
926, 5
926, 5
930, 5
936, 5
940, 5
939, 5
943, 5
942, 4
936, 4
933, 5
929, 5
918, 5
913, 5
904, 5
896, 6
886, 5
872, 6
863, 7
846, 6
836, 7
821, 7
808, 8
790, 8
774, 9
759, 9
741, 10
725, 10
709, 10
695, 10
677, 11
663, 11
644, 12
630, 12
614, 12
601, 13
587, 13
575, 14
561, 14
549, 14
536, 15
524, 16
512, 16
503, 17
491, 17
477, 18
466, 18
455, 19
445, 20
434, 20
421, 21
410, 21
400, 21
391, 22
383, 23
375, 23
364, 24
354, 24
345, 25
338, 26
330, 27
325, 27
320, 28
313, 29
305, 29
300, 29
295, 30
291, 30
287, 31
285, 32
282, 32
280, 32
277, 33
273, 33
268, 34
263, 34
259, 34
255, 35
252, 35
249, 36
248, 37
244, 37
242, 37
242, 38
240, 38
237, 38
236, 40
235, 39
233, 40
231, 41
230, 40
228, 41
227, 42
225, 42
223, 42
221, 43
219, 43
217, 44
217, 44
214, 44
214, 44
213, 46
211, 46
209, 45
207, 47
205, 48
205, 47
202, 48
201, 49
201, 50
198, 50
195, 50
194, 52
190, 52
190, 52
187, 52
186, 53
183, 54
184, 54
181, 56
181, 57
181, 57
183, 57
182, 57
182, 59
181, 59
179, 61
177, 61
175, 61
174, 60
174, 61
175, 61
171, 62
170, 62
170, 63
172, 64
173, 64
173, 64
170, 65
167, 69
166, 68
166, 69
170, 69
170, 69
166, 70
163, 68
162, 70
164, 70
168, 71
166, 71
162, 71
159, 72
161, 72
164, 75
163, 73
160, 74
162, 75
162, 73
159, 74
157, 76
158, 74
162, 74
158, 77
156, 74
156, 75
157, 76
159, 76
156, 77
154, 75
153, 76
158, 77
156, 77
154, 79
153, 81
154, 79
155, 78
151, 81
150, 81
155, 80
155, 81
150, 82
151, 82
154, 83
151, 81
150, 82
150, 83
154, 83
149, 83
153, 83
148, 83
147, 84
151, 83
151, 84
147, 84
147, 84
151, 84
150, 84
145, 84
148, 84
151, 84
148, 84
148, 84
150, 84
149, 85
146, 85
147, 84
151, 84
148, 84
145, 84
149, 84
150, 84
146, 84
146, 84
150, 84
148, 85
151, 83
151, 84
149, 82
150, 83
157, 81
159, 75
159, 74
162, 74
166, 71
176, 67
183, 60
189, 57
195, 54
202, 50
212, 47
223, 45
237, 40
252, 38
268, 35
287, 33
308, 30
333, 28
359, 27
385, 24
410, 22
441, 20
472, 18
507, 17
542, 16
576, 14
611, 13
650, 12
688, 11
720, 10
750, 9
779, 9
809, 8
836, 8
865, 7
887, 7
905, 6
917, 5
933, 5
940, 5
944, 5
947, 5
942, 5
933, 5
917, 6
898, 6
873, 7
841, 8
800, 10
752, 11
701, 13
652, 13
598, 15
542, 17
494, 21
454, 23
387, 25
355, 26
329, 28
306, 29
287, 31
271, 33
258, 36
247, 36
237, 38
230, 41
221, 42
214, 43
206, 45
201, 46
194, 49
189, 50
185, 52
181, 53
175, 55
171, 56
176, 57
183, 60
189, 64
189, 67
189, 70
148, 76
148, 77
149, 78
148, 78
145, 81
144, 81
146, 83
145, 84
142, 83
142, 84
146, 87
140, 84
139, 85
140, 84
140, 85
136, 84
136, 86
143, 84
138, 85
137, 84
136, 84
140, 84
137, 84
135, 84
141, 84
139, 84
135, 84
135, 84
139, 84
138, 84
134, 84
137, 85
139, 85
136, 85
134, 85
139, 85
135, 85
135, 85
135, 85
139, 84
135, 84
135, 85
138, 85
138, 84
134, 85
134, 84
138, 84
135, 86
135, 86
136, 84
138, 86
135, 84
134, 84
138, 86
135, 86
134, 85
135, 85
137, 85
134, 84
135, 85
136, 85
136, 86
131, 86
133, 85
137, 85
133, 86
132, 86
